,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,58.73,63.29,0.00,87.25,9.32,0.00,0.76,0.02
grid,85.25,76.29,0.00,89.43,4.15,0.00,0.73,0.01
leather,88.20,89.99,0.00,89.66,30.75,0.00,0.74,0.01
tile,55.38,52.02,0.00,83.58,15.48,0.00,0.72,0.07
wood,74.25,72.24,0.00,86.33,21.49,0.00,0.76,0.04
bottle,69.56,56.81,0.00,86.30,13.41,0.00,0.76,0.06
cable,45.93,48.52,0.00,76.65,5.73,0.00,0.61,0.03
capsule,52.57,71.46,0.00,90.46,10.33,0.00,0.83,0.01
hazelnut,65.21,72.16,0.00,80.77,8.82,0.00,0.64,0.02
metal_nut,73.85,64.37,0.00,90.91,27.63,0.00,0.81,0.12
pill,58.66,48.53,0.00,91.69,6.52,0.00,0.84,0.03
screw,55.92,69.22,0.00,85.30,3.49,0.00,0.74,0.00
toothbrush,49.44,73.63,0.00,83.33,9.45,0.00,0.71,0.02
transistor,45.54,54.77,0.00,57.14,11.46,0.00,0.40,0.05
zipper,76.81,57.19,0.00,88.15,14.64,0.00,0.79,0.02
