,i_roc,i_f1
carpet,81.74,86.41
grid,84.21,86.82
leather,98.73,96.81
tile,98.20,97.08
wood,67.54,86.33
bottle,82.62,86.61
cable,70.20,77.98
capsule,60.97,90.46
hazelnut,54.61,78.65
metal_nut,27.44,89.42
pill,54.96,91.56
screw,60.43,85.61
toothbrush,49.72,83.33
transistor,57.94,58.21
zipper,84.22,89.71
