,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
carpet,96.79,15.89,0.00,96.13,3.16,0.00
grid,90.64,12.43,0.00,90.91,1.38,0.00
leather,69.02,7.14,0.00,85.58,1.29,0.00
tile,96.39,22.24,0.00,94.55,13.18,0.00
wood,90.00,47.86,0.00,92.80,7.44,0.00
bottle,69.68,29.32,0.00,87.50,10.95,0.00
cable,50.97,33.81,0.00,76.03,5.58,0.00
capsule,45.67,17.34,0.00,90.46,1.82,0.00
hazelnut,76.39,25.17,0.00,83.75,4.18,0.00
metal_nut,48.88,32.51,0.00,89.42,20.98,0.00
pill,70.16,36.71,0.00,91.56,6.57,0.00
screw,45.19,10.00,0.00,85.30,0.50,0.00
toothbrush,50.83,25.11,0.00,83.33,3.07,0.00
transistor,63.62,43.40,0.00,63.27,9.14,0.00
zipper,58.95,27.87,0.00,88.15,4.07,0.00
