,i_roc,i_f1
carpet,99.56,98.32
grid,100.00,100.00
leather,99.97,99.46
tile,99.89,99.41
wood,98.55,96.72
bottle,96.83,95.08
cable,83.43,82.73
capsule,69.80,92.31
hazelnut,86.45,86.09
metal_nut,90.71,90.71
pill,80.17,91.56
screw,76.37,86.23
toothbrush,86.94,89.55
transistor,86.44,82.93
zipper,93.17,92.83
