,i_roc,i_f1
carpet,99.62,98.32
grid,99.33,98.25
leather,100.00,100.00
tile,99.93,99.41
wood,97.11,95.87
bottle,96.63,94.66
cable,82.57,81.63
capsule,62.88,90.46
hazelnut,89.64,86.62
metal_nut,93.82,94.24
pill,77.78,91.56
screw,75.09,85.92
toothbrush,76.11,84.51
transistor,84.92,77.78
zipper,90.85,92.74
